Name;ASCII Name;Country Code;Population;Coordinates
Maków Mazowiecki;Makow Mazowiecki;PL;9978;52.86493, 21.10053
Krzeszowice;Krzeszowice;PL;9978;50.14248, 19.63223
Strzelce Krajeńskie;Strzelce Krajenskie;PL;9978;52.87726, 15.52978
Ozimek;Ozimek;PL;9963;50.67944, 18.2137
Pawłowice;Pawlowice;PL;9929;49.96127, 18.71778
Blachownia;Blachownia;PL;9891;50.78015, 18.96389
Nadarzyn;Nadarzyn;PL;9881;52.09438, 20.80776
Nowy Dwór Gdański;Nowy Dwor Gdanski;PL;9822;54.21305, 19.11771
Sucha Beskidzka;Sucha Beskidzka;PL;9801;49.74188, 19.59429
Sztum;Sztum;PL;9766;53.92077, 19.03072
Kożuchów;Kozuchow;PL;9679;51.74558, 15.59492
Lwówek Śląski;Lwowek Slaski;PL;9657;51.11074, 15.58582
Ryki;Ryki;PL;9619;51.62574, 21.93274
Ustrzyki Dolne;Ustrzyki Dolne;PL;9610;49.4304, 22.59381
Czarna Białostocka;Czarna Bialostocka;PL;9592;53.30509, 23.28146
Kruszwica;Kruszwica;PL;9494;52.67562, 18.33131
Wasilków;Wasilkow;PL;9440;53.19909, 23.20776
Orneta;Orneta;PL;9412;54.11483, 20.13328
Pieszyce;Pieszyce;PL;9406;50.71287, 16.58232
Czersk;Czersk;PL;9390;53.79589, 17.97647
Niepołomice;Niepolomice;PL;9384;50.04066, 20.22257
Ziębice;Ziebice;PL;9328;50.60122, 17.04065
Lubawa;Lubawa;PL;9302;53.50428, 19.74966
Sępólno Krajeńskie;Sepolno Krajenskie;PL;9223;53.45198, 17.53169
Szubin;Szubin;PL;9206;53.00967, 17.74
Wysokie Mazowieckie;Wysokie Mazowieckie;PL;9203;52.91661, 22.51712
Suchedniów;Suchedniow;PL;9184;51.04776, 20.82922
Janikowo;Janikowo;PL;9169;52.75328, 18.11328
Wolbrom;Wolbrom;PL;9146;50.37957, 19.75831
Puszczykowo;Puszczykowo;PL;9143;52.2857, 16.84925
Chełmek;Chelmek;PL;9059;50.10163, 19.24801
Kamień Pomorski;Kamien Pomorski;PL;9036;53.96849, 14.77262
Żuromin;Zuromin;PL;9019;53.06611, 19.90894
Żychlin;Zychlin;PL;9009;52.24404, 19.62613
Opalenica;Opalenica;PL;8991;52.30887, 16.41278
Kostrzyn;Kostrzyn;PL;8965;52.39847, 17.22811
Stary Sącz;Stary Sacz;PL;8959;49.56364, 20.63496
Wojkowice;Wojkowice;PL;8927;50.36509, 19.03652
Środa Śląska;Sroda Slaska;PL;8912;51.16406, 16.59508
Radzymin;Radzymin;PL;8818;52.41592, 21.18415
Opole Lubelskie;Opole Lubelskie;PL;8780;51.14775, 21.96897
Strzyżów;Strzyzow;PL;8739;49.87074, 21.79413
Leśnica-Ratyń-Pustki;Lesnica-Ratyn-Pustki;PL;8724;51.14228, 16.84773
Poręba;Poreba;PL;8718;50.48831, 19.33903
Wieruszów;Wieruszow;PL;8692;51.29488, 18.15547
Połczyn-Zdrój;Polczyn-Zdroj;PL;8682;53.76424, 16.09574
Pobiedziska;Pobiedziska;PL;8677;52.47753, 17.28767
Kalety;Kalety;PL;8670;50.5627, 18.8926
Grodków;Grodkow;PL;8654;50.69836, 17.38449
Wola;Wola;PL;8508;50.01745, 19.12333
Prabuty;Prabuty;PL;8488;53.755, 19.20547
Jastrowie;Jastrowie;PL;8452;53.42048, 16.81756
Oborniki Śląskie;Oborniki Slaskie;PL;8440;51.30137, 16.91465
Zawadzkie;Zawadzkie;PL;8439;50.60503, 18.48467
Pelplin;Pelplin;PL;8320;53.92834, 18.6977
Ożarów Mazowiecki;Ozarow Mazowiecki;PL;8237;52.21039, 20.79716
Chocianów;Chocianow;PL;8187;51.41867, 15.90172
Lidzbark;Lidzbark;PL;8177;53.26283, 19.82663
Połaniec;Polaniec;PL;8158;50.43324, 21.2812
Praszka;Praszka;PL;8150;51.05375, 18.45317
Paczków;Paczkow;PL;8081;50.46395, 17.00658
Imielin;Imielin;PL;8057;50.14534, 19.18599
Zwoleń;Zwolen;PL;8048;51.35542, 21.58768
Gorzyce;Gorzyce;PL;8009;50.6672, 21.84013
Zelów;Zelow;PL;8003;51.46452, 19.21972
Osiek;Osiek;PL;8000;49.95067, 19.26444
Trzemeszno;Trzemeszno;PL;7840;52.56139, 17.82311
Poddębice;Poddebice;PL;7840;51.89344, 18.9573
Brzozów;Brzozow;PL;7836;49.69501, 22.01926
Witkowo;Witkowo;PL;7825;52.43964, 17.77264
Pniewy;Pniewy;PL;7738;52.50943, 16.25668
Sępolno;Sepolno;PL;7724;51.10995, 17.102
Barcin;Barcin;PL;7682;52.86607, 17.94625
Olsztynek;Olsztynek;PL;7591;53.58374, 20.28471
Mszana Dolna;Mszana Dolna;PL;7500;49.67432, 20.07992
Tłuszcz;Tluszcz;PL;7482;52.43058, 21.43561
Nasielsk;Nasielsk;PL;7445;52.58887, 20.80553
Chojna;Chojna;PL;7398;52.96389, 14.42797
Białobrzegi;Bialobrzegi;PL;7328;51.64695, 20.95041
Miasteczko Śląskie;Miasteczko Slaskie;PL;7327;50.50262, 18.93949
Barczewo;Barczewo;PL;7315;53.83055, 20.69112
Gniewkowo;Gniewkowo;PL;7224;52.89461, 18.40785
Łosice;Losice;PL;7207;52.21129, 22.71801
Kórnik;Kornik;PL;7206;52.24772, 17.08949
Zbąszyń;Zbaszyn;PL;7185;52.2509, 15.9252
Łazy;Lazy;PL;7166;50.42769, 19.39465
Tuszyn;Tuszyn;PL;7124;51.60949, 19.53009
Raszyn;Raszyn;PL;7109;52.15603, 20.9226
Sędziszów Małopolski;Sedziszow Malopolski;PL;7096;50.07069, 21.70062
Sierakowice;Sierakowice;PL;7068;54.3461, 17.89252
Bolszewo;Bolszewo;PL;7064;54.61801, 18.17585
Luzino;Luzino;PL;7056;54.56604, 18.10907
Gądów Mały;Gadow Maly;PL;7042;51.11853, 16.98596
Szklarska Poręba;Szklarska Poreba;PL;6970;50.82567, 15.52274
Polanica-Zdrój;Polanica-Zdroj;PL;6966;50.40373, 16.51271
Bełżyce;Belzyce;PL;6958;51.17415, 22.28027
Skarszewy;Skarszewy;PL;6942;54.06911, 18.44416
Czaplinek;Czaplinek;PL;6933;53.55775, 16.23333
Łodygowice;Lodygowice;PL;6925;49.72992, 19.13939
Sobótka;Sobotka;PL;6906;50.89992, 16.74441
Sławków;Slawkow;PL;6901;50.29943, 19.38967
Głuszyca;Gluszyca;PL;6897;50.68743, 16.37173
Rakszawa;Rakszawa;PL;6894;50.16051, 22.23907
Gryfów Śląski;Gryfow Slaski;PL;6890;51.03081, 15.42017
Twardogóra;Twardogora;PL;6840;51.36487, 17.46878
Witnica;Witnica;PL;6821;52.67318, 14.89765
Rejon ulicy Mieleckiej;Rejon ulicy Mieleckiej;PL;6815;51.09145, 17.00207
Opatów;Opatow;PL;6799;50.80058, 21.42538
Sędziszów;Sedziszow;PL;6771;50.5659, 20.05563
Rudnik nad Sanem;Rudnik nad Sanem;PL;6770;50.44152, 22.24856
Gniew;Gniew;PL;6759;53.83602, 18.8231
Piława Górna;Pilawa Gorna;PL;6736;50.68357, 16.74359
Pajęczno;Pajeczno;PL;6731;51.14449, 18.99612
Jaworze;Jaworze;PL;6723;49.79351, 18.9479
Żarów;Zarow;PL;6719;50.94116, 16.49466
Kłodawa;Klodawa;PL;6714;52.25447, 18.91352
Tuchów;Tuchow;PL;6680;49.89485, 21.05407
Koźmin Wielkopolski;Kozmin Wielkopolski;PL;6678;51.82712, 17.45391
Sianów;Sianow;PL;6606;54.22646, 16.29127
Maślice Małe;Maslice Male;PL;6602;51.14937, 16.94191
Jabłonna;Jablonna;PL;6552;52.37885, 20.91745
Żmigród;Zmigrod;PL;6542;51.46672, 16.90564
Wilkowice;Wilkowice;PL;6496;49.76282, 19.08973
Piechowice;Piechowice;PL;6496;50.84963, 15.59887
Żukowo;Zukowo;PL;6494;54.3422, 18.36476
Rzepin;Rzepin;PL;6488;52.3464, 14.83227
Przemków;Przemkow;PL;6487;51.5253, 15.79441
Łochów;Lochow;PL;6486;52.53076, 21.68158
Lubawka;Lubawka;PL;6404;50.70456, 16.00026
Sułkowice;Sulkowice;PL;6362;49.84053, 19.80097
Sulejów;Sulejow;PL;6332;51.35436, 19.88538
Goczałkowice Zdrój;Goczalkowice Zdroj;PL;6321;49.94454, 18.96927
Koniecpol;Koniecpol;PL;6318;50.77468, 19.68896
Niemodlin;Niemodlin;PL;6315;50.642, 17.61932
Kietrz;Kietrz;PL;6306;50.08042, 18.00432
Krzyż Wielkopolski;Krzyz Wielkopolski;PL;6300;52.88097, 16.01116
Ksawerów;Ksawerow;PL;6269;51.68288, 19.4028
Mszczonów;Mszczonow;PL;6267;51.97415, 20.52083
Nowa Sarzyna;Nowa Sarzyna;PL;6255;50.32086, 22.34456
Rejon ulicy Klęczkowskiej;Rejon ulicy Kleczkowskiej;PL;6223;51.1297, 17.03376
Działoszyn;Dzialoszyn;PL;6222;51.11699, 18.86524
Wołczyn;Wolczyn;PL;6221;51.01845, 18.04994
Zawoja;Zawoja;PL;6200;49.64396, 19.54227
Stronie Śląskie;Stronie Slaskie;PL;6192;50.29554, 16.87397
Przysucha;Przysucha;PL;6188;51.35858, 20.62889
Dobczyce;Dobczyce;PL;6171;49.88109, 20.08936
Proszowice;Proszowice;PL;6146;50.19275, 20.28909
Lądek-Zdrój;Ladek-Zdroj;PL;6140;50.34371, 16.87946
Nowe;Nowe;PL;6104;53.64906, 18.72716
Buk;Buk;PL;6102;52.35532, 16.51958
Korczyna;Korczyna;PL;6100;49.71555, 21.80941
Sieraków;Sierakow;PL;6090;52.65134, 16.08047
Gogolin;Gogolin;PL;6077;50.49222, 18.01994
Wieleń;Wielen;PL;6067;52.89461, 16.17136
Dynów;Dynow;PL;6065;49.81506, 22.23388
Dąbrowa Białostocka;Dabrowa Bialostocka;PL;6044;53.65364, 23.34792
Czarne;Czarne;PL;6035;53.6842, 16.93834
Szczawnica;Szczawnica;PL;6032;49.42437, 20.48487
Lewin Brzeski;Lewin Brzeski;PL;6000;50.7487, 17.61688
Terespol;Terespol;PL;6000;52.0755, 23.61614
Orzysz;Orzysz;PL;5998;53.80967, 21.94811
Grybów;Grybow;PL;5994;49.62439, 20.94797
Białe Błota;Biale Blota;PL;5989;53.09516, 17.91621
Więcbork;Wiecbork;PL;5953;53.35384, 17.49064
Strzelno;Strzelno;PL;5951;52.62789, 18.17246
Stąporków;Staporkow;PL;5946;51.13762, 20.57173
Klucze;Klucze;PL;5926;50.33565, 19.56236
Sejny;Sejny;PL;5872;54.10802, 23.34698
Ścinawa;Scinawa;PL;5863;51.41626, 16.4251
Plewiska;Plewiska;PL;5861;52.36706, 16.80985
Szczyrk;Szczyrk;PL;5860;49.71724, 19.03183
Brenna;Brenna;PL;5859;49.72576, 18.90249
Karlino;Karlino;PL;5832;54.03515, 15.87739
Boguchwała;Boguchwala;PL;5823;49.98473, 21.94528
Grudki;Grudki;PL;5822;53.09488, 23.66848
Pieńsk;Piensk;PL;5813;51.249, 15.04685
Murcki;Murcki;PL;5796;50.20036, 19.04351
Piwniczna-Zdrój;Piwniczna-Zdroj;PL;5793;49.44056, 20.71423
Pakość;Pakosc;PL;5762;52.80178, 18.0853
Radziejów;Radziejow;PL;5759;52.62481, 18.52771
Głogówek;Glogowek;PL;5755;50.35355, 17.86405
Maków Podhalański;Makow Podhalanski;PL;5746;49.73008, 19.67711
Lipsko;Lipsko;PL;5723;51.15954, 21.64933
Lesko;Lesko;PL;5700;49.4701, 22.33042
Kazimierza Wielka;Kazimierza Wielka;PL;5696;50.26564, 20.49358
Chełm Śląski;Chelm Slaski;PL;5646;50.10825, 19.19552
Jedlicze;Jedlicze;PL;5629;49.71749, 21.64886
Stęszew;Steszew;PL;5596;52.2837, 16.70085
Susz;Susz;PL;5593;53.71743, 19.33645
Szczawno-Zdrój;Szczawno-Zdroj;PL;5586;50.80352, 16.25655
Pilczyce;Pilczyce;PL;5582;51.13704, 16.95752
Księże Małe-Księże Wielkie;Ksieze Male-Ksieze Wielkie;PL;5541;51.07293, 17.08881
Czaniec;Czaniec;PL;5536;49.85071, 19.25354
Śmigiel;Smigiel;PL;5531;52.01339, 16.52704
Dzierzgoń;Dzierzgon;PL;5518;53.92196, 19.34705
Chocznia;Chocznia;PL;5510;49.87417, 19.45438
Międzyzdroje;Miedzyzdroje;PL;5502;53.92921, 14.45097
Kuźnia Raciborska;Kuznia Raciborska;PL;5472;50.20058, 18.31146
Radymno;Radymno;PL;5464;49.9472, 22.82375
Głogów Małopolski;Glogow Malopolski;PL;5451;50.15122, 21.96287
Choroszcz;Choroszcz;PL;5449;53.14332, 22.98889
Czerwonak;Czerwonak;PL;5432;52.46459, 16.98169
Kąty Wrocławskie;Katy Wroclawskie;PL;5418;51.03098, 16.76767
Siewierz;Siewierz;PL;5417;50.46657, 19.23028
Osiedle Henrykowskie;Osiedle Henrykowskie;PL;5384;51.08999, 17.05289
Lesznowola;Lesznowola;PL;5374;52.09095, 20.93479
Złotniki;Zlotniki;PL;5373;51.13769, 16.88923
Jeżowe;Jezowe;PL;5358;50.37486, 22.12749
Wojszyce;Wojszyce;PL;5338;51.05837, 17.04513
Bolków;Bolkow;PL;5304;50.92203, 16.10111
Bychawa;Bychawa;PL;5297;51.01608, 22.53296
Ornontowice;Ornontowice;PL;5291;50.19377, 18.75435
Gościcino;Goscicino;PL;5278;54.60459, 18.15491
Stryszawa;Stryszawa;PL;5266;49.71327, 19.52185
Wyrzysk;Wyrzysk;PL;5263;53.153, 17.26802
Psie Pole Południe-Kiełczów;Psie Pole Poludnie-Kielczow;PL;5263;51.14783, 17.12744
Szczebrzeszyn;Szczebrzeszyn;PL;5255;50.69499, 22.97954
Debrzno;Debrzno;PL;5251;53.53817, 17.23643
Jaworzyna Śląska;Jaworzyna Slaska;PL;5242;50.9134, 16.43241
Szczytna;Szczytna;PL;5234;50.41343, 16.44743
Reszel;Reszel;PL;5226;54.05042, 21.14585
Małkinia Górna;Malkinia Gorna;PL;5199;52.6922, 22.02836
Jordanów;Jordanow;PL;5194;49.64935, 19.82981
Oleszyce;Oleszyce;PL;5193;50.1675, 23.03481
Otmuchów;Otmuchow;PL;5181;50.46627, 17.17348
Markłowice;Marklowice;PL;5173;50.01695, 18.52098
Żołynia;Zolynia;PL;5145;50.162, 22.30825
Komorniki;Komorniki;PL;5144;52.3387, 16.81063
Strzałkowo;Strzalkowo;PL;5140;52.30701, 17.81811
Komorów;Komorow;PL;5136;52.1456, 20.81566
Zagórz;Zagorz;PL;5129;49.51457, 22.26706
Iłża;Ilza;PL;5121;51.16313, 21.23979
Nowogród Bobrzański;Nowogrod Bobrzanski;PL;5114;51.79856, 15.2352
Janowiec Wielkopolski;Janowiec Wielkopolski;PL;5110;52.75583, 17.48981
Mysłakowice;Myslakowice;PL;5100;50.84123, 15.77894
Czempiń;Czempin;PL;5093;52.14404, 16.76408
Zbąszynek;Zbaszynek;PL;5073;52.24315, 15.81654
Bierutów;Bierutow;PL;5065;51.12443, 17.54607
Jedlina-Zdrój;Jedlina-Zdroj;PL;5062;50.72005, 16.34645
Zebrzydowice;Zebrzydowice;PL;5046;49.87793, 18.61127
Ludwin;Ludwin;PL;5041;51.34605, 22.90581
Piotrków Kujawski;Piotrkow Kujawski;PL;5030;52.55111, 18.49905
Muszyna;Muszyna;PL;5018;49.35661, 20.89718
Wieprz;Wieprz;PL;5002;49.89093, 19.35688
Krzemieniewo;Krzemieniewo;PL;5000;51.85905, 16.83354
Karpacz;Karpacz;PL;4979;50.77669, 15.75594
Jadowniki;Jadowniki;PL;4975;49.95884, 20.64434
Nowe Skalmierzyce;Nowe Skalmierzyce;PL;4961;51.71038, 17.99337
Odolanów;Odolanow;PL;4960;51.57419, 17.67434
Ciechanowiec;Ciechanowiec;PL;4946;52.67828, 22.49815
Brzeziny Śląskie;Brzeziny Slaskie;PL;4901;50.35439, 18.98129
Pcim;Pcim;PL;4900;49.75166, 19.97108
Górowo Iławeckie;Gorowo Ilaweckie;PL;4900;54.28559, 20.48886
Istebna;Istebna;PL;4895;49.56319, 18.90567
Łaskarzew;Laskarzew;PL;4893;51.78993, 21.59122
Duszniki-Zdrój;Duszniki-Zdroj;PL;4888;50.40327, 16.39091
Jasienica;Jasienica;PL;4872;49.81312, 18.92155
Budzyń;Budzyn;PL;4861;52.88954, 16.98812
Strachocin-Wojnów;Strachocin-Wojnow;PL;4861;51.10486, 17.15073
Sułkowice;Sulkowice;PL;4835;49.81932, 19.35988
Zator;Zator;PL;4779;49.99604, 19.43799
Czarny Bór;Czarny Bor;PL;4769;50.77083, 16.1305
Jabłonka;Jablonka;PL;4767;49.47968, 19.6937
Rędziny;Redziny;PL;4753;50.85922, 19.2162
Olszyna;Olszyna;PL;4739;51.0671, 15.37228
Brusy;Brusy;PL;4728;53.88446, 17.71786
Ruciane-Nida;Ruciane-Nida;PL;4722;53.64161, 21.53964
Kcynia;Kcynia;PL;4716;52.99192, 17.4883
Żurawica;Zurawica;PL;4702;49.82348, 22.78925
Kobiór;Kobior;PL;4702;50.06089, 18.93468
Bulowice;Bulowice;PL;4700;49.8765, 19.28873
Ożarów;Ozarow;PL;4689;50.88798, 21.66658
Zabierzów;Zabierzow;PL;4689;50.11425, 19.79788
Raciąż;Raciaz;PL;4676;52.78152, 20.1177
Pisarzowice;Pisarzowice;PL;4673;49.88363, 19.14565
Leśna;Lesna;PL;4648;51.02431, 15.26413
Krośniewice;Krosniewice;PL;4610;52.25592, 19.17037
Słopnice;Slopnice;PL;4601;49.68496, 20.34325
Śliwice;Sliwice;PL;4600;53.70875, 18.1737
Biecz;Biecz;PL;4564;49.73596, 21.26301
Radziechowy;Radziechowy;PL;4541;49.64651, 19.13115
Pilzno;Pilzno;PL;4535;49.97883, 21.29228
Supraśl;Suprasl;PL;4526;53.20526, 23.33934
Brześć Kujawski;Brzesc Kujawski;PL;4522;52.60532, 18.90173
Korsze;Korsze;PL;4521;54.17002, 21.13915
Dobrzeń Wielki;Dobrzen Wielki;PL;4500;50.76844, 17.84652
Kobylnica;Kobylnica;PL;4500;54.43975, 16.99782
Gdów;Gdow;PL;4500;49.90818, 20.19879
Zduny;Zduny;PL;4498;51.6458, 17.37694
Świeradów-Zdrój;Swieradow-Zdroj;PL;4492;50.9092, 15.34309
Wożniki;Wozniki;PL;4488;50.58934, 19.05991
Józefosław;Jozefoslaw;PL;4484;52.1005, 21.04629
Mieroszów;Mieroszow;PL;4480;50.66589, 16.18883
Krzepice;Krzepice;PL;4479;50.97059, 18.72886
Rejowiec Fabryczny;Rejowiec Fabryczny;PL;4474;51.11414, 23.24724
Koszęcin;Koszecin;PL;4471;50.63411, 18.8413
Ogrodzieniec;Ogrodzieniec;PL;4467;50.45177, 19.51987
Ligota;Ligota;PL;4454;49.89856, 18.9509
Łabiszyn;Labiszyn;PL;4454;52.9521, 17.91971
Milówka;Milowka;PL;4448;49.5554, 19.09072
Kalwaria Zebrzydowska;Kalwaria Zebrzydowska;PL;4429;49.86759, 19.6772
Rejon alei Kromera;Rejon alei Kromera;PL;4421;51.13375, 17.07107
Poraj;Poraj;PL;4418;50.67797, 19.21509
Bestwina;Bestwina;PL;4409;49.89712, 19.05776
Bytom Odrzański;Bytom Odrzanski;PL;4408;51.73062, 15.82362
Nowy Staw;Nowy Staw;PL;4403;54.13609, 19.00909
Jasień;Jasien;PL;4398;51.75142, 15.01419
Golina;Golina;PL;4387;52.24315, 18.09268
Cięcina;Ciecina;PL;4373;49.6022, 19.14102
Suchy Las;Suchy Las;PL;4367;52.47308, 16.87745
Bobolice;Bobolice;PL;4365;53.95508, 16.58893
Zawidów;Zawidow;PL;4364;51.02546, 15.06213
Żarki;Zarki;PL;4363;50.62518, 19.36357
Lipowa;Lipowa;PL;4357;49.67574, 19.09398
Resko;Resko;PL;4354;53.77307, 15.40607
Borne Sulinowo;Borne Sulinowo;PL;4349;53.57661, 16.53395
Mrocza;Mrocza;PL;4347;53.24313, 17.60405
Słomniki;Slomniki;PL;4340;50.24012, 20.08224
Pietrzykowice;Pietrzykowice;PL;4339;49.69634, 19.1599
Humniska;Humniska;PL;4300;49.67507, 22.05368
Tułowice;Tulowice;PL;4290;50.59577, 17.65323
Kazimierz Biskupi;Kazimierz Biskupi;PL;4280;52.311, 18.16581
Pilawa;Pilawa;PL;4278;51.95945, 21.53089
Siechnice;Siechnice;PL;4264;51.03384, 17.14743
Gilowice;Gilowice;PL;4259;49.71277, 19.31045
Szamocin;Szamocin;PL;4258;53.02795, 17.12653
Chęciny;Checiny;PL;4252;50.80021, 20.46229
Żabno;Zabno;PL;4250;50.13334, 20.88615
Siepraw;Siepraw;PL;4237;49.91437, 19.95864
Tarnowo Podgórne;Tarnowo Podgorne;PL;4235;52.46642, 16.66326
Węgierska Górka;Wegierska Gorka;PL;4233;49.60776, 19.11638
Kleczew;Kleczew;PL;4217;52.37057, 18.17714
Kadzidło;Kadzidlo;PL;4210;53.23435, 21.46454
Biały Dunajec;Bialy Dunajec;PL;4200;49.3738, 20.00898
Nałęczów;Naleczow;PL;4200;51.28581, 22.21539
Kamieniec Ząbkowicki;Kamieniec Zabkowicki;PL;4200;50.52541, 16.87921
Sułoszowa;Suloszowa;PL;4200;50.26789, 19.73282
Czerwieńsk;Czerwiensk;PL;4197;52.01289, 15.42317
Suszec;Suszec;PL;4183;50.02958, 18.7916
Babimost;Babimost;PL;4182;52.16488, 15.82769
Szczucin;Szczucin;PL;4166;50.30957, 21.07444
Lipiany;Lipiany;PL;4159;53.00336, 14.96919
Mirsk;Mirsk;PL;4150;50.97054, 15.38567
Hel;Hel;PL;4136;54.60384, 18.80351
Skaryszew;Skaryszew;PL;4135;51.31075, 21.25233
Raba Wyżna;Raba Wyzna;PL;4116;49.56681, 19.87967
Kalisz Pomorski;Kalisz Pomorski;PL;4110;53.29908, 15.90631
Sołtysowice;Soltysowice;PL;4109;51.15282, 17.07103
Buczkowice;Buczkowice;PL;4102;49.72858, 19.06908
Lipnica Wielka;Lipnica Wielka;PL;4100;49.47404, 19.63883
Jodłowa;Jodlowa;PL;4100;49.87229, 21.27897
Rybie;Rybie;PL;4100;52.15229, 20.93655
Markowa;Markowa;PL;4100;50.02633, 22.3316
Jeleśnia;Jelesnia;PL;4098;49.64246, 19.32701
Giedlarowa;Giedlarowa;PL;4096;50.22689, 22.40593
Płoty;Ploty;PL;4093;53.80182, 15.2667
Żelechów;Zelechow;PL;4087;51.81051, 21.89721
Kowalewo Pomorskie;Kowalewo Pomorskie;PL;4081;53.15432, 18.89868
Krobia;Krobia;PL;4060;51.77405, 16.98237
Gąbin;Gabin;PL;4056;52.39849, 19.73509
Pszczółki;Pszczolki;PL;4053;54.17304, 18.69787
Goleszów;Goleszow;PL;4045;49.7358, 18.73675
Sława;Slawa;PL;4038;51.87623, 16.07205
Nowogrodziec;Nowogrodziec;PL;4031;51.19543, 15.39854
Biała Piska;Biala Piska;PL;4027;53.61191, 22.06321
Serock;Serock;PL;4023;52.51036, 21.0691
Dobrodzień;Dobrodzien;PL;4014;50.72874, 18.44501
Celestynów;Celestynow;PL;4007;52.06093, 21.39107
Osiek nad Notecią;Osiek nad Notecia;PL;4000;53.1203, 17.29102
Baniocha;Baniocha;PL;4000;52.01653, 21.13984
Płaza;Plaza;PL;4000;50.09988, 19.46451
Cmolas;Cmolas;PL;4000;50.29526, 21.74417
Przeciszów;Przeciszow;PL;3996;50.00647, 19.37576
Wielopole Skrzyńskie;Wielopole Skrzynskie;PL;3982;49.94564, 21.61491
Widawa-Lipa Piotrowska-Polanowice;Widawa-Lipa Piotrowska-Polanowice;PL;3982;51.17093, 17.02164
Sokołów Małopolski;Sokolow Malopolski;PL;3975;50.22909, 22.11968
Skoki;Skoki;PL;3972;52.67222, 17.16107
Witaszyce;Witaszyce;PL;3967;51.94151, 17.56182
Ropa;Ropa;PL;3959;49.59146, 21.04431
Drzewica;Drzewica;PL;3958;51.45085, 20.47701
Wierzbica;Wierzbica;PL;3956;51.2494, 21.08259
Przysietnica;Przysietnica;PL;3953;49.73019, 22.05257
Strzebiń;Strzebin;PL;3951;50.61647, 18.89794
Wojcieszów;Wojcieszow;PL;3933;50.95194, 15.92185
Osielsko;Osielsko;PL;3930;53.18505, 18.08418
Chmielnik;Chmielnik;PL;3926;50.6144, 20.75206
Jastarnia;Jastarnia;PL;3925;54.6983, 18.6773
Świerklany Górne;Swierklany Gorne;PL;3912;50.02765, 18.5905
Tarczyn;Tarczyn;PL;3904;51.98197, 20.83394
Hyżne;Hyzne;PL;3900;49.91769, 22.18131
Kościelisko;Koscielisko;PL;3900;49.29073, 19.88929
Niedrzwica Duża;Niedrzwica Duza;PL;3900;51.11462, 22.38911
Spytkowice;Spytkowice;PL;3898;49.99671, 19.51103
Jankowice Rybnickie;Jankowice Rybnickie;PL;3895;50.04479, 18.54707
Iłowa;Ilowa;PL;3892;51.5006, 15.1998
Małogoszcz;Malogoszcz;PL;3890;50.81214, 20.26407
Bystra;Bystra;PL;3887;49.76042, 19.05973
Pęczniew;Peczniew;PL;3871;51.80384, 18.72311
Ujście;Ujscie;PL;3869;53.05339, 16.73201
Borzęcin;Borzecin;PL;3865;50.0654, 20.71103
Targanice;Targanice;PL;3860;49.80575, 19.32444
Nowe Miasto nad Pilicą;Nowe Miasto nad Pilica;PL;3856;51.61812, 20.57619
Porąbka;Porabka;PL;3852;49.81716, 19.21835
Mikołajki;Mikolajki;PL;3851;53.80288, 21.57011
Podkowa Leśna;Podkowa Lesna;PL;3844;52.12237, 20.72665
Szczekociny;Szczekociny;PL;3841;50.62669, 19.825
Okonek;Okonek;PL;3833;53.53618, 16.85158
Nakło;Naklo;PL;3824;50.4369, 18.91056
Brańsk;Bransk;PL;3822;52.7444, 22.83774
Polanka Wielka;Polanka Wielka;PL;3800;49.98501, 19.32615
Opatówek;Opatowek;PL;3800;51.73989, 18.21653
Tarnów Opolski;Tarnow Opolski;PL;3800;50.57631, 18.08367
Żarki;Zarki;PL;3793;50.08259, 19.35199
Wola Żarczycka;Wola Zarczycka;PL;3793;50.2912, 22.25023
Świerklaniec;Swierklaniec;PL;3786;50.44237, 18.93734
Lubomia;Lubomia;PL;3779;50.03972, 18.3082
Chybie;Chybie;PL;3775;49.90249, 18.82756
Andrespol;Andrespol;PL;3773;51.72783, 19.64175
Przedbórz;Przedborz;PL;3765;51.08789, 19.87384
Kępice;Kepice;PL;3756;54.24111, 16.88968
Barwice;Barwice;PL;3756;53.7449, 16.3553
Jejkowice;Jejkowice;PL;3753;50.10814, 18.46767
Gierałtowice;Gieraltowice;PL;3752;50.22486, 18.73384
Łeba;Leba;PL;3744;54.76099, 17.55547
Prochowice;Prochowice;PL;3743;51.27307, 16.36532
Ośno Lubuskie;Osno Lubuskie;PL;3730;52.4536, 14.87549
Roczyny;Roczyny;PL;3728;49.8537, 19.31568
Czemierniki;Czemierniki;PL;3700;51.67298, 22.63887
Besko;Besko;PL;3700;49.58757, 21.95292
Rytro;Rytro;PL;3700;49.48904, 20.66631
Krościenko Wyżne;Kroscienko Wyzne;PL;3700;49.67946, 21.82898
Jugów;Jugow;PL;3700;50.62758, 16.51812
Kiełczów;Kielczow;PL;3700;51.13999, 17.17798
Radgoszcz;Radgoszcz;PL;3700;50.2058, 21.11315
Pruchnik;Pruchnik;PL;3694;49.9062, 22.51554
Jedlnia-Letnisko;Jedlnia-Letnisko;PL;3692;51.43074, 21.33536
Byczyna;Byczyna;PL;3665;51.11387, 18.21413
Jabłonowo Pomorskie;Jablonowo Pomorskie;PL;3658;53.39137, 19.15509
Skrzyszów;Skrzyszow;PL;3656;49.99373, 21.06139
Kargowa;Kargowa;PL;3649;52.0714, 15.86138
