Name;ASCII Name;Country Code;Population;Coordinates
Skarżysko-Kamienna;Skarzysko-Kamienna;PL;49410;51.11311, 20.87162
Skierniewice;Skierniewice;PL;49042;51.95485, 20.15837
Kutno;Kutno;PL;48323;52.23064, 19.36409
Starogard Gdański;Starogard Gdanski;PL;48202;53.96396, 18.52638
Krosno;Krosno;PL;47784;49.68866, 21.77058
Dębica;Debica;PL;47366;50.05146, 21.41141
Ursus;Ursus;PL;47285;52.19517, 20.88419
Nysa;Nysa;PL;47283;50.47379, 17.33437
Wejherowo;Wejherowo;PL;46820;54.60568, 18.23559
Ciechanów;Ciechanow;PL;46438;52.88141, 20.61996
Radomsko;Radomsko;PL;45353;51.06713, 19.44477
Rumia;Rumia;PL;44791;54.57092, 18.38802
Zduńska Wola;Zdunska Wola;PL;44515;51.59915, 18.93974
Sieradz;Sieradz;PL;44436;51.59584, 18.73023
Kołobrzeg;Kolobrzeg;PL;44377;54.17565, 15.58342
Rejon placu Świętego Macieja;Rejon placu Swietego Macieja;PL;44090;51.12056, 17.03761
Otwock;Otwock;PL;43388;52.10577, 21.26129
Żyrardów;Zyrardow;PL;41179;52.0488, 20.44599
Świnoujście;Swinoujscie;PL;40919;53.91053, 14.24712
Bolesławiec;Boleslawiec;PL;40682;51.26418, 15.5697
Nowa Sól;Nowa Sol;PL;40354;51.80333, 15.71702
Jarosław;Jaroslaw;PL;40134;50.01623, 22.67776
Świdnik;Swidnik;PL;40050;51.21898, 22.69621
Chrzanów;Chrzanow;PL;39973;50.13546, 19.40203
Knurów;Knurow;PL;39744;50.21971, 18.65067
Sanok;Sanok;PL;39684;49.55573, 22.2056
Chojnice;Chojnice;PL;39407;53.69554, 17.55701
Oświęcim;Oswiecim;PL;39057;50.03437, 19.21037
Mikołów;Mikolow;PL;38821;50.17103, 18.9041
Żary;Zary;PL;38779;51.64205, 15.13727
Malbork;Malbork;PL;38723;54.03591, 19.0266
Szczecinek;Szczecinek;PL;38496;53.70791, 16.69937
Sochaczew;Sochaczew;PL;38267;52.22944, 20.23838
Brzeg;Brzeg;PL;38259;50.86079, 17.4674
